시즌,경기ID,누적쿼터,팀명,구분,선수명,최종승리팀(1=홈승),PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,머피 할로웨이,0,6,3,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,0,2,2,1,0,0,0,1,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,미로슬라브 라둘리차,0,5,1,2,50.0,0,0,0.0,1,2,50.0,3,3,100.0,1,0,1,0,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,이정현,0,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,양우섭,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,허일영,0,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,김선형,0,5,1,2,50.0,1,2,50.0,2,4,50.0,0,0,0.0,0,0,0,3,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,최부경,0,4,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0,1,1,0,0,1,0,0,0,2
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,김승원,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,리온 윌리엄스,0,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,2,0,2,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,이현석,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,최원혁,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,최준용,0,2,1,2,50.0,0,2,0.0,1,4,25.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,안영준,0,2,1,2,50.0,0,1,0.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,자밀 워니,0,6,3,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,2,4,6,1,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N2,Q1,서울 SK,Away,오재현,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,오용준,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,김강선,0,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,최현민,0,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,이대성,0,11,3,7,42.9,1,1,100.0,4,8,50.0,2,3,66.7,1,1,2,1,1,0,0,0,1,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,한호빈,0,3,1,1,100.0,0,1,0.0,1,2,50.0,1,1,100.0,0,0,0,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,최승욱,0,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,1,1,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,이승현,0,3,0,4,0.0,1,2,50.0,1,6,16.7,0,0,0.0,0,3,3,2,1,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,이종현,0,6,3,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,0,1,1,1,1,1,0,0,1,1
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,김진유,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,머피 할로웨이,0,8,4,5,80.0,0,0,0.0,4,5,80.0,0,0,0.0,0,4,4,2,0,0,0,1,0,0
../kbl_data/2021-2022,S39G01N2,Q1-Q2,고양 오리온,Home,미로슬라브 라둘리차,0,6,1,3,33.3,0,0,0.0,1,3,33.3,4,5,80.0,1,1,2,1,0,0,0,0,1,2
